zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,estimated_population_2014,
20101,UNIQUE,0,Dulles,,Dulles P & D Center,VA,Loudoun County,America/New_York,571,NA,US,38.92,-77.35,87,
20102,UNIQUE,0,Dulles,,Dulles Air Mail Facility -  Dulles Air Transfer Office,VA,Loudoun County,America/New_York,571,NA,US,38.92,-77.35,0,
20103,UNIQUE,0,Dulles,,Stamp Distribution Network,VA,Loudoun County,America/New_York,571,NA,US,38.92,-77.35,0,
20104,UNIQUE,0,Dulles,,Inspection Service Forensic,VA,Loudoun County,America/New_York,571,NA,US,38.92,-77.35,0,
20105,STANDARD,0,Aldie,Stone Ridge,,VA,Loudoun County,America/New_York,"540,703,571",NA,US,38.97,-77.64,19220,
20106,STANDARD,0,Amissville,Viewtown,,VA,Rappahannock County,America/New_York,,NA,US,38.67,-77.99,4620,
20107,STANDARD,1,Arcola,,,VA,Loudoun County,America/New_York,,NA,US,38.96,-77.52,31,
20108,PO BOX,0,Manassas,,,VA,Manassas City,America/New_York,571,NA,US,38.74,-77.48,1684,
20109,STANDARD,0,Manassas,Sudley Spgs -  Sudley Springs,,VA,Prince William County,America/New_York,"571,703",NA,US,38.74,-77.48,37950,
20110,STANDARD,0,Manassas,,,VA,Manassas City,America/New_York,"571,703",NA,US,38.74,-77.48,45090,
20111,STANDARD,0,Manassas,Manassas Park,,VA,Manassas Park City,America/New_York,"571,703",NA,US,38.74,-77.48,33920,
20112,STANDARD,0,Manassas,,,VA,Prince William County,America/New_York,"571,703",NA,US,38.74,-77.48,27190,
20113,PO BOX,0,Manassas,,,VA,Manassas City,America/New_York,571,NA,US,38.74,-77.48,188,
20115,STANDARD,0,Marshall,,,VA,Fauquier County,America/New_York,540,NA,US,38.87,-77.85,5110,
20116,PO BOX,0,Marshall,,,VA,Fauquier County,America/New_York,,NA,US,38.87,-77.85,902,
20117,STANDARD,0,Middleburg,,,VA,Loudoun County,America/New_York,540,NA,US,38.97,-77.73,1420,
20118,PO BOX,0,Middleburg,,,VA,Loudoun County,America/New_York,540,NA,US,38.97,-77.73,2122,
20119,STANDARD,0,Catlett,,,VA,Fauquier County,America/New_York,540,NA,US,38.61,-77.64,3720,
20120,STANDARD,0,Centreville,Sully Station,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.84,-77.44,40490,
20121,STANDARD,0,Centreville,,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.84,-77.44,27220,
20122,PO BOX,0,Centreville,,,VA,Fairfax County,America/New_York,571,NA,US,38.84,-77.44,621,
20124,STANDARD,0,Clifton,,,VA,Fairfax County,America/New_York,571,NA,US,38.77,-77.38,14850,
20128,PO BOX,0,Orlean,,,VA,Fauquier County,America/New_York,,NA,US,38.74,-77.96,255,
20129,STANDARD,0,Paeonian Springs,Paeonian Spgs,,VA,Loudoun County,America/New_York,703,NA,US,39.16,-77.61,590,
20130,STANDARD,0,Paris,,,VA,Clarke County,America/New_York,,NA,US,39,-77.95,260,
20131,PO BOX,0,Philomont,,,VA,Loudoun County,America/New_York,,NA,US,39.05,-77.74,375,
20132,STANDARD,0,Purcellville,Hillsboro,,VA,Loudoun County,America/New_York,540,NA,US,39.13,-77.71,15170,
20134,PO BOX,0,Purcellville,Hillsboro,,VA,Loudoun County,America/New_York,540,NA,US,39.13,-77.71,959,
20135,STANDARD,0,Bluemont,Mount Weather,,VA,Clarke County,America/New_York,703,NA,US,39.11,-77.83,2480,
20136,STANDARD,0,Bristow,,,VA,Prince William County,America/New_York,571,NA,US,38.73,-77.55,29910,
20137,STANDARD,0,Broad Run,,,VA,Fauquier County,America/New_York,540,NA,US,38.81,-77.72,1850,
20138,PO BOX,0,Calverton,,,VA,Fauquier County,America/New_York,,NA,US,38.63,-77.67,289,
20139,PO BOX,0,Casanova,,,VA,Fauquier County,America/New_York,,NA,US,38.61,-77.64,326,
20140,PO BOX,0,Rectortown,,,VA,Fauquier County,America/New_York,,NA,US,38.81,-77.9,98,
20141,STANDARD,0,Round Hill,,,VA,Loudoun County,America/New_York,540,NA,US,39.13,-77.77,6360,
20142,PO BOX,0,Round Hill,,,VA,Loudoun County,America/New_York,540,NA,US,39.13,-77.77,667,
20143,STANDARD,0,Catharpin,,,VA,Prince William County,America/New_York,571,NA,US,38.84,-77.56,1080,
20144,STANDARD,0,Delaplane,,,VA,Fauquier County,America/New_York,540,NA,US,38.92,-77.92,910,
20146,PO BOX,0,Ashburn,,,VA,Loudoun County,America/New_York,,NA,US,39.04,-77.48,510,
20147,STANDARD,0,Ashburn,,,VA,Loudoun County,America/New_York,703,NA,US,39.04,-77.48,60740,
20148,STANDARD,0,Ashburn,Arcola -  Brambleton -  Broadlands,,VA,Loudoun County,America/New_York,"571,703",NA,US,39.04,-77.48,44850,
20149,UNIQUE,0,Ashburn,,Natl Assn Letter Carriers,VA,Loudoun County,America/New_York,571,NA,US,39.04,-77.48,0,
20151,STANDARD,0,Chantilly,Fairfax,,VA,Fairfax County,America/New_York,571,NA,US,38.87,-77.4,22330,
20152,STANDARD,0,Chantilly,Fairfax -  South Riding,,VA,Loudoun County,America/New_York,"571,703",NA,US,38.87,-77.4,31930,
20153,PO BOX,0,Chantilly,Fairfax,,VA,Fairfax County,America/New_York,571,NA,US,38.87,-77.4,632,
20155,STANDARD,0,Gainesville,,,VA,Prince William County,America/New_York,571,NA,US,38.79,-77.61,33650,
20156,PO BOX,0,Gainesville,,,VA,Prince William County,America/New_York,571,NA,US,38.79,-77.61,339,
20158,STANDARD,0,Hamilton,,,VA,Loudoun County,America/New_York,540,NA,US,39.13,-77.66,4070,
20159,PO BOX,0,Hamilton,,,VA,Loudoun County,America/New_York,540,NA,US,39.13,-77.66,419,
20160,PO BOX,0,Lincoln,Purcellville,,VA,Loudoun County,America/New_York,540,NA,US,39.11,-77.69,243,
20163,PO BOX,0,Sterling,,Dulles,VA,Loudoun County,America/New_York,,NA,US,39,-77.4,0,
20164,STANDARD,0,Sterling,,,VA,Loudoun County,America/New_York,703,NA,US,39,-77.4,39490,
20165,STANDARD,0,Sterling,Potomac Falls,,VA,Loudoun County,America/New_York,703,NA,US,39,-77.4,33360,
20166,STANDARD,0,Sterling,Dulles,,VA,Loudoun County,America/New_York,"571,703",NA,US,39,-77.4,11030,
20167,PO BOX,0,Sterling,,,VA,Loudoun County,America/New_York,571,NA,US,39,-77.4,542,
20168,PO BOX,0,Haymarket,,,VA,Prince William County,America/New_York,571,NA,US,38.81,-77.63,269,
20169,STANDARD,0,Haymarket,,,VA,Prince William County,America/New_York,"571,703",NA,US,38.81,-77.63,24150,
20170,STANDARD,0,Herndon,,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.96,-77.38,41930,
20171,STANDARD,0,Herndon,Oak Hill,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.96,-77.38,48810,
20172,PO BOX,0,Herndon,,,VA,Fairfax County,America/New_York,571,NA,US,38.96,-77.38,769,
20175,STANDARD,0,Leesburg,,,VA,Loudoun County,America/New_York,"571,703,540",NA,US,39.1,-77.55,29360,
20176,STANDARD,0,Leesburg,Lansdowne,Lucketts,VA,Loudoun County,America/New_York,"540,571,703",NA,US,39.1,-77.55,48780,
20177,PO BOX,0,Leesburg,,,VA,Loudoun County,America/New_York,571,NA,US,39.1,-77.55,711,
20178,PO BOX,0,Leesburg,,,VA,Loudoun County,America/New_York,571,NA,US,39.1,-77.55,239,
20180,STANDARD,0,Lovettsville,,,VA,Loudoun County,America/New_York,540,NA,US,39.27,-77.63,7300,
20181,STANDARD,0,Nokesville,,,VA,Prince William County,America/New_York,"571,703",NA,US,38.69,-77.58,8550,
20182,PO BOX,0,Nokesville,,,VA,Prince William County,America/New_York,571,NA,US,38.69,-77.58,437,
20184,STANDARD,0,Upperville,,,VA,Fauquier County,America/New_York,703,NA,US,38.99,-77.88,370,
20185,PO BOX,0,Upperville,,,VA,Fauquier County,America/New_York,540,NA,US,38.99,-77.88,384,
20186,STANDARD,0,Warrenton,,Airlie -  Opal,VA,Fauquier County,America/New_York,540,NA,US,38.71,-77.79,13630,
20187,STANDARD,0,Warrenton,New Baltimore -  Vint Hill Farms -  Vint Hill Frm,,VA,Fauquier County,America/New_York,540,NA,US,38.71,-77.79,16620,
20188,PO BOX,0,Warrenton,Vint Hill Farms -  Vint Hill Frm,,VA,Fauquier County,America/New_York,540,NA,US,38.71,-77.79,1067,
20189,STANDARD,0,Dulles,,,VA,Loudoun County,America/New_York,"571,703",NA,US,38.9,-77.04,9117,
20190,STANDARD,0,Reston,Herndon,,VA,Fairfax County,America/New_York,"571,703",NA,US,38.95,-77.34,16170,
